Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2017-18 
CALPADS Fall 1 
Certification Status"
2017-2018,36,67678,6035554,San Bernardino,Chino Valley Unified,Glenmeade Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,483,244,50.5%,279,57.8%,459,243,52.9%,278,60.6%,Y
2017-2018,36,67678,6035570,San Bernardino,Chino Valley Unified,Newman Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,614,437,71.2%,470,76.5%,614,437,71.2%,470,76.5%,Y
2017-2018,36,67678,6035588,San Bernardino,Chino Valley Unified,Walnut Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,710,575,81.0%,607,85.5%,689,564,81.9%,594,86.2%,Y
2017-2018,36,67678,6059372,San Bernardino,Chino Valley Unified,Magnolia Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,736,444,60.3%,514,69.8%,736,444,60.3%,514,69.8%,Y
2017-2018,36,67678,6061840,San Bernardino,Chino Valley Unified,Ramona Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,536,391,72.9%,435,81.2%,536,391,72.9%,435,81.2%,Y
2017-2018,36,67678,6098347,San Bernardino,Chino Valley Unified,Dickson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,612,481,78.6%,518,84.6%,602,476,79.1%,513,85.2%,Y
2017-2018,36,67678,6098354,San Bernardino,Chino Valley Unified,Alicia Cortez Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,619,383,61.9%,424,68.5%,619,383,61.9%,424,68.5%,Y
2017-2018,36,67678,6098362,San Bernardino,Chino Valley Unified,Anna A. Borba Fundamental Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,558,465,83.3%,483,86.6%,544,457,84.0%,474,87.1%,Y
2017-2018,36,67678,6101513,San Bernardino,Chino Valley Unified,Levi H. Dickey Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,514,361,70.2%,398,77.4%,514,361,70.2%,398,77.4%,Y
2017-2018,36,67678,6102974,San Bernardino,Chino Valley Unified,Lyle S. Briggs Fundamental,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,830,365,44.0%,427,51.4%,830,365,44.0%,427,51.4%,Y
2017-2018,36,67678,6105712,San Bernardino,Chino Valley Unified,Robert O. Townsend Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1133,316,27.9%,387,34.2%,1133,316,27.9%,387,34.2%,Y
2017-2018,36,67678,6106611,San Bernardino,Chino Valley Unified,Gerald F. Litel Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,557,165,29.6%,202,36.3%,556,165,29.7%,202,36.3%,Y
2017-2018,36,67678,6106629,San Bernardino,Chino Valley Unified,Eagle Canyon Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,619,199,32.1%,220,35.5%,617,199,32.3%,220,35.7%,Y
2017-2018,36,67678,6107270,San Bernardino,Chino Valley Unified,Oak Ridge Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,664,175,26.4%,195,29.4%,664,175,26.4%,195,29.4%,Y
2017-2018,36,67678,6107288,San Bernardino,Chino Valley Unified,Howard Cattle Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,725,303,41.8%,348,48.0%,713,299,41.9%,344,48.2%,Y
2017-2018,36,67678,6108195,San Bernardino,Chino Valley Unified,Rolling Ridge Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,561,130,23.2%,154,27.5%,561,130,23.2%,154,27.5%,Y
2017-2018,36,67678,6108666,San Bernardino,Chino Valley Unified,Butterfield Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,724,170,23.5%,206,28.5%,723,170,23.5%,206,28.5%,Y
2017-2018,36,67678,6109813,San Bernardino,Chino Valley Unified,Canyon Hills Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1174,264,22.5%,318,27.1%,1174,264,22.5%,318,27.1%,Y
2017-2018,36,67678,6111215,San Bernardino,Chino Valley Unified,Woodcrest Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,378,227,60.1%,276,73.0%,378,227,60.1%,276,73.0%,Y
2017-2018,36,67678,6111710,San Bernardino,Chino Valley Unified,Country Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,610,115,18.9%,126,20.7%,610,115,18.9%,126,20.7%,Y
2017-2018,36,67678,6112833,San Bernardino,Chino Valley Unified,Hidden Trails Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,486,111,22.8%,130,26.7%,486,111,22.8%,130,26.7%,Y
2017-2018,36,67686,0000000,San Bernardino,Colton Joint Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P,Adult,50,30,60.0%,30,60.0%,45,29,64.4%,29,64.4%,Y
2017-2018,36,67686,0000001,San Bernardino,Colton Joint Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,5,35.7%,5,35.7%,13,5,38.5%,5,38.5%,Y
2017-2018,36,67686,0125500,San Bernardino,Colton Joint Unified,Grand Terrace High School at the Ray Abril Jr. Educational Complex,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2114,1267,59.9%,1473,69.7%,2048,1223,59.7%,1425,69.6%,Y
2017-2018,36,67686,3630399,San Bernardino,Colton Joint Unified,Washington High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,89,60,67.4%,71,79.8%,65,46,70.8%,55,84.6%,Y
2017-2018,36,67686,3631322,San Bernardino,Colton Joint Unified,Bloomington High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2322,1681,72.4%,1916,82.5%,2286,1654,72.4%,1887,82.5%,Y
2017-2018,36,67686,3632742,San Bernardino,Colton Joint Unified,Colton High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1956,1467,75.0%,1639,83.8%,1864,1398,75.0%,1560,83.7%,Y
2017-2018,36,67686,3636131,San Bernardino,Colton Joint Unified,Slover Mountain High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,218,161,73.9%,182,83.5%,181,132,72.9%,148,81.8%,Y
2017-2018,36,67686,6035604,San Bernardino,Colton Joint Unified,Crestmore Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,797,661,82.9%,733,92.0%,783,652,83.3%,720,92.0%,Y
2017-2018,36,67686,6035612,San Bernardino,Colton Joint Unified,Gerald A. Smith Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,716,606,84.6%,665,92.9%,700,591,84.4%,649,92.7%,Y
2017-2018,36,67686,6035620,San Bernardino,Colton Joint Unified,Grand Terrace Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,689,455,66.0%,524,76.1%,680,451,66.3%,520,76.5%,Y
2017-2018,36,67686,6035638,San Bernardino,Colton Joint Unified,Ulysses Grant Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,675,559,82.8%,602,89.2%,658,548,83.3%,587,89.2%,Y
2017-2018,36,67686,6035646,San Bernardino,Colton Joint Unified,Abraham Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,674,597,88.6%,636,94.4%,665,588,88.4%,627,94.3%,Y
2017-2018,36,67686,6035653,San Bernardino,Colton Joint Unified,Mary B. Lewis Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,694,609,87.8%,661,95.2%,682,598,87.7%,650,95.3%,Y
2017-2018,36,67686,6035661,San Bernardino,Colton Joint Unified,William McKinley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,652,557,85.4%,602,92.3%,639,547,85.6%,592,92.6%,Y
2017-2018,36,67686,6035679,San Bernardino,Colton Joint Unified,Paul Rogers Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,725,599,82.6%,657,90.6%,725,599,82.6%,657,90.6%,Y
2017-2018,36,67686,6035687,San Bernardino,Colton Joint Unified,Ruth Grimes Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,628,504,80.3%,548,87.3%,628,504,80.3%,548,87.3%,Y
2017-2018,36,67686,6035703,San Bernardino,Colton Joint Unified,Terrace Hills Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,985,623,63.2%,728,73.9%,985,623,63.2%,728,73.9%,Y
2017-2018,36,67686,6035711,San Bernardino,Colton Joint Unified,Terrace View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,830,368,44.3%,448,54.0%,816,359,44.0%,439,53.8%,Y
2017-2018,36,67686,6035729,San Bernardino,Colton Joint Unified,Walter Zimmerman Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,685,603,88.0%,646,94.3%,670,589,87.9%,631,94.2%,Y
2017-2018,36,67686,6035745,San Bernardino,Colton Joint Unified,Woodrow Wilson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,618,524,84.8%,579,93.7%,610,516,84.6%,571,93.6%,Y
2017-2018,36,67686,6059380,San Bernardino,Colton Joint Unified,Joe Baca,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,867,706,81.4%,792,91.3%,867,706,81.4%,792,91.3%,Y
2017-2018,36,67686,6061857,San Bernardino,Colton Joint Unified,Colton Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1034,857,82.9%,937,90.6%,1034,857,82.9%,937,90.6%,Y
2017-2018,36,67686,6101034,San Bernardino,Colton Joint Unified,Alice Birney Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,697,628,90.1%,668,95.8%,687,620,90.2%,658,95.8%,Y
2017-2018,36,67686,6107452,San Bernardino,Colton Joint Unified,Reche Canyon Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,561,407,72.5%,442,78.8%,555,403,72.6%,438,78.9%,Y
2017-2018,36,67686,6108831,San Bernardino,Colton Joint Unified,Jurupa Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,523,313,59.8%,393,75.1%,513,306,59.6%,385,75.0%,Y
2017-2018,36,67686,6110142,San Bernardino,Colton Joint Unified,Cooley Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,606,430,71.0%,476,78.5%,597,425,71.2%,471,78.9%,Y
2017-2018,36,67686,6111108,San Bernardino,Colton Joint Unified,Ruth O. Harris Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,757,522,69.0%,617,81.5%,757,522,69.0%,617,81.5%,Y
2017-2018,36,67686,6113633,San Bernardino,Colton Joint Unified,Michael D'Arcy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,513,341,66.5%,402,78.4%,504,338,67.1%,398,79.0%,Y
2017-2018,36,67686,6120422,San Bernardino,Colton Joint Unified,Sycamore Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,872,544,62.4%,643,73.7%,872,544,62.4%,643,73.7%,Y
2017-2018,36,67694,6035752,San Bernardino,Cucamonga Elementary,Cucamonga Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,537,370,68.9%,426,79.3%,527,364,69.1%,419,79.5%,Y
2017-2018,36,67694,6035760,San Bernardino,Cucamonga Elementary,Los Amigos Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,526,382,72.6%,428,81.4%,515,372,72.2%,418,81.2%,Y
2017-2018,36,67694,6097646,San Bernardino,Cucamonga Elementary,Rancho Cucamonga Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,762,475,62.3%,556,73.0%,762,475,62.3%,556,73.0%,Y
2017-2018,36,67694,6109185,San Bernardino,Cucamonga Elementary,Ontario Center,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,633,345,54.5%,421,66.5%,614,336,54.7%,410,66.8%,Y
2017-2018,36,67702,0000001,San Bernardino,Etiwanda Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,2,22.2%,2,22.2%,9,2,22.2%,2,22.2%,Y
2017-2018,36,67702,0102939,San Bernardino,Etiwanda Elementary,Etiwanda Colony Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,627,142,22.6%,165,26.3%,615,139,22.6%,161,26.2%,Y
2017-2018,36,67702,0102947,San Bernardino,Etiwanda Elementary,Day Creek Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1310,321,24.5%,379,28.9%,1310,321,24.5%,379,28.9%,Y
2017-2018,36,67702,0113688,San Bernardino,Etiwanda Elementary,Perdew Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,795,354,44.5%,395,49.7%,778,344,44.2%,385,49.5%,Y
2017-2018,36,67702,0117382,San Bernardino,Etiwanda Elementary,Etiwanda Community Day,Elementary School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,6,8,5,1,20.0%,2,40.0%,5,1,20.0%,2,40.0%,Y
2017-2018,36,67702,0135293,San Bernardino,Etiwanda Elementary,Falcon Ridge Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,451,165,36.6%,195,43.2%,440,161,36.6%,191,43.4%,Y
2017-2018,36,67702,6035778,San Bernardino,Etiwanda Elementary,Etiwanda Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1439,524,36.4%,616,42.8%,1439,524,36.4%,616,42.8%,Y
2017-2018,36,67702,6035786,San Bernardino,Etiwanda Elementary,Summit Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1085,306,28.2%,389,35.9%,1085,306,28.2%,389,35.9%,Y
2017-2018,36,67702,6106595,San Bernardino,Etiwanda Elementary,Windrows Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,591,204,34.5%,228,38.6%,571,196,34.3%,220,38.5%,Y
2017-2018,36,67702,6107569,San Bernardino,Etiwanda Elementary,Caryn Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,586,141,24.1%,164,28.0%,576,139,24.1%,162,28.1%,Y
2017-2018,36,67702,6108005,San Bernardino,Etiwanda Elementary,West Heritage Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,681,369,54.2%,412,60.5%,670,365,54.5%,407,60.7%,Y
2017-2018,36,67702,6112114,San Bernardino,Etiwanda Elementary,Carleton P. Lightfoot Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,566,214,37.8%,225,39.8%,554,210,37.9%,221,39.9%,Y
2017-2018,36,67702,6112122,San Bernardino,Etiwanda Elementary,Terra Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,869,292,33.6%,326,37.5%,850,288,33.9%,321,37.8%,Y
2017-2018,36,67702,6112130,San Bernardino,Etiwanda Elementary,East Heritage Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,576,265,46.0%,305,53.0%,568,263,46.3%,302,53.2%,Y
2017-2018,36,67702,6116263,San Bernardino,Etiwanda Elementary,David W. Long Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,838,203,24.2%,246,29.4%,826,199,24.1%,241,29.2%,Y
2017-2018,36,67702,6117519,San Bernardino,Etiwanda Elementary,Cecilia Lucero Solorio Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,874,361,41.3%,419,47.9%,862,355,41.2%,413,47.9%,Y
2017-2018,36,67702,6118467,San Bernardino,Etiwanda Elementary,John L. Golden Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,895,202,22.6%,223,24.9%,878,194,22.1%,215,24.5%,Y
2017-2018,36,67702,6119622,San Bernardino,Etiwanda Elementary,Grapeland Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,638,221,34.6%,241,37.8%,631,221,35.0%,241,38.2%,Y
2017-2018,36,67702,6119630,San Bernardino,Etiwanda Elementary,Heritage Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1276,563,44.1%,683,53.5%,1276,563,44.1%,683,53.5%,Y
2017-2018,36,67710,0000001,San Bernardino,Fontana Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41,13,31.7%,13,31.7%,36,13,36.1%,13,36.1%,Y
2017-2018,36,67710,0100347,San Bernardino,Fontana Unified,Almond Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,524,420,80.2%,461,88.0%,507,410,80.9%,451,89.0%,Y
2017-2018,36,67710,0102509,San Bernardino,Fontana Unified,Wayne Ruble Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,1272,843,66.3%,1016,79.9%,1272,843,66.3%,1016,79.9%,Y
2017-2018,36,67710,0102517,San Bernardino,Fontana Unified,Dorothy Grant Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,673,369,54.8%,452,67.2%,673,369,54.8%,452,67.2%,Y
2017-2018,36,67710,0108191,San Bernardino,Fontana Unified,Summit High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2408,1304,54.2%,1637,68.0%,2355,1268,53.8%,1594,67.7%,Y
2017-2018,36,67710,0113423,San Bernardino,Fontana Unified,Kathy Binks Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,608,400,65.8%,465,76.5%,608,400,65.8%,465,76.5%,Y
2017-2018,36,67710,0113944,San Bernardino,Fontana Unified,Beech Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,775,652,84.1%,707,91.2%,775,652,84.1%,707,91.2%,Y
2017-2018,36,67710,0120758,San Bernardino,Fontana Unified,Jurupa Hills High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2035,1388,68.2%,1695,83.3%,1973,1344,68.1%,1644,83.3%,Y
2017-2018,36,67710,0133371,San Bernardino,Fontana Unified,Dolores Huerta International Academy,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,438,297,67.8%,354,80.8%,438,297,67.8%,354,80.8%,Y
2017-2018,36,67710,3630019,San Bernardino,Fontana Unified,Eric Birch High (Continuation),Unified School District,Continuation High Schools,Continuation School,Provision 2,No ,N/A,N/A,N,10,12,241,193,80.1%,220,91.3%,204,167,81.9%,187,91.7%,Y
2017-2018,36,67710,3630480,San Bernardino,Fontana Unified,Citrus High (Continuation),Unified School District,Continuation High Schools,Continuation School,Provision 2,No ,N/A,N/A,N,10,12,307,245,79.8%,278,90.6%,222,185,83.3%,203,91.4%,Y
2017-2018,36,67710,3630555,San Bernardino,Fontana Unified,Fontana A. B. Miller High,Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,2229,1591,71.4%,1900,85.2%,2139,1522,71.2%,1823,85.2%,Y
2017-2018,36,67710,3630902,San Bernardino,Fontana Unified,Henry J. Kaiser High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2132,1368,64.2%,1738,81.5%,2052,1320,64.3%,1684,82.1%,Y
2017-2018,36,67710,3633302,San Bernardino,Fontana Unified,Fontana High,Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,2475,2005,81.0%,2288,92.4%,2381,1926,80.9%,2203,92.5%,Y
2017-2018,36,67710,6035794,San Bernardino,Fontana Unified,Juniper Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,529,432,81.7%,469,88.7%,529,432,81.7%,469,88.7%,Y
2017-2018,36,67710,6035810,San Bernardino,Fontana Unified,Live Oak Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,559,431,77.1%,466,83.4%,542,421,77.7%,454,83.8%,Y
2017-2018,36,67710,6035828,San Bernardino,Fontana Unified,Maple Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,594,431,72.6%,452,76.1%,578,422,73.0%,443,76.6%,Y
2017-2018,36,67710,6035836,San Bernardino,Fontana Unified,North Tamarind Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,504,435,86.3%,468,92.9%,504,435,86.3%,468,92.9%,Y
2017-2018,36,67710,6035844,San Bernardino,Fontana Unified,Oleander Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,830,735,88.6%,769,92.7%,811,719,88.7%,753,92.8%,Y
2017-2018,36,67710,6035851,San Bernardino,Fontana Unified,Palmetto Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,812,652,80.3%,721,88.8%,812,652,80.3%,721,88.8%,Y
2017-2018,36,67710,6035869,San Bernardino,Fontana Unified,Poplar Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,613,482,78.6%,525,85.6%,597,470,78.7%,513,85.9%,Y
2017-2018,36,67710,6035877,San Bernardino,Fontana Unified,Randall Pepper Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,600,496,82.7%,528,88.0%,599,495,82.6%,527,88.0%,Y
2017-2018,36,67710,6035885,San Bernardino,Fontana Unified,Redwood Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,512,403,78.7%,452,88.3%,512,403,78.7%,452,88.3%,Y
2017-2018,36,67710,6035893,San Bernardino,Fontana Unified,Virginia Primrose Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,445,342,76.9%,364,81.8%,445,342,76.9%,364,81.8%,Y
2017-2018,36,67710,6035901,San Bernardino,Fontana Unified,South Tamarind Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,698,570,81.7%,620,88.8%,689,565,82.0%,615,89.3%,Y
2017-2018,36,67710,6035919,San Bernardino,Fontana Unified,West Randall Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,459,337,73.4%,371,80.8%,444,327,73.6%,361,81.3%,Y
2017-2018,36,67710,6059398,San Bernardino,Fontana Unified,Alder Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,1182,915,77.4%,1055,89.3%,1182,915,77.4%,1055,89.3%,Y
2017-2018,36,67710,6059406,San Bernardino,Fontana Unified,Fontana Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,1229,1039,84.5%,1142,92.9%,1229,1039,84.5%,1142,92.9%,Y
2017-2018,36,67710,6061865,San Bernardino,Fontana Unified,Sequoia Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,1154,930,80.6%,1069,92.6%,1154,930,80.6%,1069,92.6%,Y
2017-2018,36,67710,6068761,San Bernardino,Fontana Unified,Cypress Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,684,552,80.7%,596,87.1%,684,552,80.7%,596,87.1%,Y
2017-2018,36,67710,6102933,San Bernardino,Fontana Unified,Tokay Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,530,392,74.0%,436,82.3%,513,385,75.0%,429,83.6%,Y
2017-2018,36,67710,6106470,San Bernardino,Fontana Unified,Locust Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,446,340,76.2%,385,86.3%,446,340,76.2%,385,86.3%,Y
2017-2018,36,67710,6106504,San Bernardino,Fontana Unified,Southridge Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,1051,706,67.2%,914,87.0%,1051,706,67.2%,914,87.0%,Y
2017-2018,36,67710,6106702,San Bernardino,Fontana Unified,Chaparral Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,330,238,72.1%,266,80.6%,318,232,73.0%,260,81.8%,Y
2017-2018,36,67710,6108054,San Bernardino,Fontana Unified,Almeria Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,826,560,67.8%,698,84.5%,826,560,67.8%,698,84.5%,Y
2017-2018,36,67710,6108062,San Bernardino,Fontana Unified,Oak Park Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,474,324,68.4%,406,85.7%,458,316,69.0%,395,86.2%,Y
2017-2018,36,67710,6108070,San Bernardino,Fontana Unified,Shadow Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,400,280,70.0%,335,83.8%,400,280,70.0%,335,83.8%,Y
